protein1	protein2	organism1	organism2	org1.taxid	org2.taxid
A0A024A4F8	P88909	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88915	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88924	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88927	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88935	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88938	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88940	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88941	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88953	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88954	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88955	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88962	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88964	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P90475	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	Q76SB3	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	Q76SB4	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	Q98133	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	Q98141	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	Q98667	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024B7W1	A2RRP1	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	A6NIH7	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	A7E2V4	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O00186	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O00193	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O00267	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O00422	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O14662	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O15239	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O15270	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O15400	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O43181	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O43676	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O43678	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O43719	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O43752	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O43865	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O43920	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O60313	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O60508	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O60524	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O60664	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O60704	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O60828	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O60858	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O75063	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O75691	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O94874	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95139	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95167	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95169	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95178	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95182	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95197	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95218	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95232	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95298	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95365	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95625	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95772	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O96008	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O96011	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O96028	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P07099	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P08240	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P11233	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P14927	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P17152	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P17568	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P17858	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P19404	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P20719	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P21912	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P26572	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P27105	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P28331	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P30414	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P31040	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P32856	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P35250	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P36551	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P42345	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P46013	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P49821	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P51809	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P52630	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P54652	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P54920	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P55081	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P56181	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P56556	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P62072	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P98175	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q01105	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q06136	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q10469	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q12846	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q12893	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q12899	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q12986	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q13084	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q13371	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q13423	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q13427	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q13428	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q13445	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q13823	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q14980	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q15014	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q15286	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q15382	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q15650	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q15831	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q29RF7	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q2M1P5	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q4J6C6	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q587I9	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q5HYI7	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q5JPE7	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q5T200	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q5T653	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q5U5Q3	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q5VWQ0	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q5VYS8	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q68D91	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q6I9Y2	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q6NUQ4	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q6P1Q0	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q6PCB5	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q6PIU2	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q6PJT7	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q6SZW1	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q6ZN55	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q6ZT21	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q7L2J0	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q7Z2W9	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q7Z434	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q7Z4V5	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q7Z6E9	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q7Z7F7	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q7Z7H5	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q7Z7L7	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q86TS9	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q86U38	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q86UW6	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q86VR2	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q86XZ4	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q86Y39	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q86Y82	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8IXI2	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8IYB3	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8IYS2	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8N0U8	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8N4H5	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8N5G0	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8N7H5	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8N983	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8NAV1	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8NBX0	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8NBZ7	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8NEW0	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8TB61	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8TBZ6	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8TD22	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8TEQ8	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8TF01	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8WUY8	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q8WVM0	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q92508	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q92614	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q92620	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96AN5	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96B49	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96BN8	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96BP3	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96DV4	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96E52	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96EB6	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96FV9	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96FX7	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96GC5	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96GM8	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96HR9	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96HV5	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96I25	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96K58	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96KR1	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96LT4	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96MU7	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96PC5	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96PV6	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96SI9	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96SU4	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96T58	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q96TC7	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q99755	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BPX6	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BQC6	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BQE4	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BRL6	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BRT2	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BRU9	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BRX9	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BSF4	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BU23	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BWE0	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BWM7	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BWU0	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BX73	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BXB4	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BXJ8	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BYC9	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BYD2	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BYD6	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9BYW2	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9C0E8	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	Q9GZU8	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
